0 5000
a 1 1 
aaahhh 1 1 
abandoned 1 1 
abdomen 1 1 
abdominal 1 1 
able 1 1 
aboard 1 1 
about 1 1 
above 1 1 
abroad 1 1 
abruptly 1 1 
absence 1 1 
absolut 1 1 
abusive 1 1 
acacia 1 1 
accent 1 1 
accentuates 1 1 
accepting 1 1 
accepts 1 1 
accessories 1 1 
accessory 1 1 
accidentally 1 1 
accompanied 1 1 
accompanies 1 1 
accord 1 1 
according 1 1 
accosted 1 1 
account 1 1 
accusingly 1 1 
achievements 1 1 
aching 1 1 
acid 1 1 
acquisitions 1 1 
across 1 1 
act 1 1 
acting 1 1 
active 1 1 
actor 1 1 
actual 1 1 
actually 1 1 
adam 1 1 
adamant 1 1 
adapted 1 1 
add 1 1 
adding 1 1 
additional 1 1 
address 1 1 
addresses 1 1 
adds 1 1 
adirondack 1 1 
adjacent 1 1 
adjourn 1 1 
administration 1 1 
admire 1 1 
admiringly 1 1 
admit 1 1 
admits 1 1 
adorable 1 1 
adore 1 1 
adrienne 1 1 
advantage 1 1 
advice 1 1 
aerobic 1 1 
aerobics 1 1 
affectionately 1 1 
affirmative 1 1 
african 1 1 
after 1 1 
afternoon 1 1 
afternoons 1 1 
aftershaves 1 1 
afterwards 1 1 
again 1 1 
against 1 1 
age 1 1 
agenda 1 1 
agendas 1 1 
aging 1 1 
ago 1 1 
agonizing 1 1 
agostino 1 1 
agreed 1 1 
agreement 1 1 
agrees 1 1 
ah 1 1 
ahead 1 1 
ahem 1 1 
aids 1 1 
ailes 1 1 
aiming 1 1 
aims 1 1 
ain 1 1 
air 1 1 
airlines 1 1 
airways 1 1 
aisle 1 1 
aisles 1 1 
ajar 1 1 
akail 1 1 
akthent 1 1 
alarm 1 1 
alarmed 1 1 
album 1 1 
albums 1 1 
alcohol 1 1 
ale 1 1 
alert 1 1 
alex 1 1 
alien 1 1 
alison 1 1 
alive 1 1 
all 1 1 
allen 1 1 
alley 1 1 
alligator 1 1 
allowed 1 1 
allowing 1 1 
alm 1 1 
almost 1 1 
alone 1 1 
along 1 1 
alongside 1 1 
alpaca 1 1 
alphabetically 1 1 
already 1 1 
also 1 1 
alterations 1 1 
alternately 1 1 
alternative 1 1 
aluminum 1 1 
always 1 1 
am 1 1 
ambulance 1 1 
american 1 1 
americans 1 1 
amex 1 1 
amnesia 1 1 
amount 1 1 
amused 1 1 
an 1 1 
and 1 1 
angela 1 1 
angelo 1 1 
angels 1 1 
anger 1 1 
angle 1 1 
angrily 1 1 
angry 1 1 
angus 1 1 
animal 1 1 
ankle 1 1 
anne 1 1 
anniversary 1 1 
announcing 1 1 
annoyed 1 1 
another 1 1 
answer 1 1 
answering 1 1 
answers 1 1 
anti 1 1 
anticipating 1 1 
antique 1 1 
antlers 1 1 
anxiety 1 1 
any 1 1 
anybody 1 1 
anymore 1 1 
anyone 1 1 
anything 1 1 
anyway 1 1 
anywhere 1 1 
apartment 1 1 
apiece 1 1 
apologetic 1 1 
apologetically 1 1 
apologize 1 1 
apologizing 1 1 
apology 1 1 
apothecary 1 1 
appalled 1 1 
apparent 1 1 
appear 1 1 
appearance 1 1 
appears 1 1 
appetizers 1 1 
applause 1 1 
apple 1 1 
apples 1 1 
applies 1 1 
applying 1 1 
appointment 1 1 
appreciate 1 1 
