1
Input Files/7.txt
0 5000
a 1 0 
abashed 1 0 
abhors 1 0 
abjured 1 0 
able 1 0 
abode 1 0 
abominable 1 0 
about 1 0 
above 1 0 
abruptly 1 0 
abruptlynelly 1 0 
absence 1 0 
absenceand 1 0 
absent 1 0 
absented 1 0 
absolute 1 0 
absolutely 1 0 
absolved 1 0 
absorbed 1 0 
abstract 1 0 
absurd 1 0 
abuse 1 0 
accent 1 0 
accents 1 0 
accept 1 0 
accepted 1 0 
accident 1 0 
accommodation 1 0 
accompanied 1 0 
accompany 1 0 
accord 1 0 
according 1 0 
account 1 0 
accursed 1 0 
accusations 1 0 
accustomed 1 0 
ache 1 0 
ached 1 0 
aching 1 0 
acknowledgment 1 0 
acquaintance 1 0 
acquaintances 1 0 
acquainted 1 0 
acquire 1 0 
acquired 1 0 
acquisition 1 0 
acquisitions 1 0 
across 1 0 
act 1 0 
acted 1 0 
action 1 0 
actions 1 0 
active 1 0 
acts 1 0 
actually 1 0 
added 1 0 
address 1 0 
addressing 1 0 
addthe 1 0 
adhere 1 0 
adieux 1 0 
adjourned 1 0 
administered 1 0 
admiration 1 0 
admire 1 0 
admired 1 0 
admit 1 0 
adopt 1 0 
adoration 1 0 
adored 1 0 
advancing 1 0 
advantages 1 0 
advent 1 0 
adventure 1 0 
advise 1 0 
advised 1 0 
adviser 1 0 
affairs 1 0 
affectationdevilish 1 0 
affected 1 0 
affection 1 0 
affections 1 0 
affirmations 1 0 
affirmed 1 0 
affirming 1 0 
affirms 1 0 
afford 1 0 
afore 1 0 
afraid 1 0 
afresh 1 0 
afreshi 1 0 
after 1 0 
afternoon 1 0 
afterwards 1 0 
again 1 0 
against 1 0 
age 1 0 
agean 1 0 
aggravating 1 0 
agitation 1 0 
ago 1 0 
agoit 1 0 
agony 1 0 
agreeable 1 0 
agreed 1 0 
agreement 1 0 
ah 1 0 
ahr 1 0 
aid 1 0 
ailing 1 0 
ails 1 0 
aimed 1 0 
air 1 0 
ajar 1 0 
akin 1 0 
alarm 1 0 
alarmed 1 0 
alas 1 0 
ale 1 0 
alike 1 0 
alive 1 0 
all 1 0 
allanswer 1 0 
alleviation 1 0 
alliance 1 0 
allow 1 0 
allowed 1 0 
allowing 1 0 
allthe 1 0 
allusyahs 1 0 
ally 1 0 
almanack 1 0 
almost 1 0 
alone 1 0 
along 1 0 
aloof 1 0 
aloud 1 0 
already 1 0 
also 1 0 
alteration 1 0 
alterations 1 0 
altered 1 0 
altogether 1 0 
always 1 0 
am 1 0 
amang 1 0 
amazed 1 0 
amazement 1 0 
ambitionand 1 0 
america 1 0 
american 1 0 
amiable 1 0 
amid 1 0 
amiss 1 0 
among 1 0 
amongst 1 0 
amost 1 0 
amuse 1 0 
amusements 1 0 
amuses 1 0 
an 1 0 
ancestors 1 0 
